Photo Number:,Tree Number:,Azimuth:,Pitch:,Angle of Photo Taken:,Leaf Number:,Angle Related to Straight Line:,Z-Axis Angle:,Notes:
,,,,,9,66.441,15,
,,,,,10,93.221,5,
5917,2378,8.5,-0.1,0,1,85.408,15,
,,,,,2,69.031,5,
,,,,,3,58.13,10,
,,,,,4,29.3,15,
,,,,,5,35.86,0,
,,,,,6,50.136,5,
,,,,,7,42.806,20,
,,,,,8,67.744,10,
,,,,,9,32.592,10,
,,,,,10,39.606,85,
5923,2380,304.6,8.5,0,1,33.082,20,
,,,,,2,91.133,45,
,,,,,3,32.858,15,
,,,,,4,89.116,20,
,,,,,5,11.412,55,
,,,,,6,21.271,35,
,,,,,7,129.061,45,
,,,,,8,41.635,20,
,,,,,9,24.731,15,
,,,,,10,32.573,35,
5928,2380,46,5.7,-2.1,1,82.589,20,
,,,,,2,59.253,40,
,,,,,3,87.969,10,
,,,,,4,152.213,45,
,,,,,5,89.95,25,
,,,,,6,58.468,45,
,,,,,7,88.501,20,
,,,,,8,70.543,5,
,,,,,9,70.297,25,
,,,,,10,104.845,30,
5935,2377,43,7.6,0,1,113.148,45,
,,,,,2,32.437,40,
,,,,,3,51.673,45,
,,,,,4,98.772,15,
,,,,,5,4.365,35,
,,,,,6,87.307,60,
,,,,,7,44.956,25,
,,,,,8,43.788,30,
,,,,,9,18.012,35,
,,,,,10,79.739,55,
5950,2377,226.4,7.2,0,1,22.144,40,
,,,,,2,16.945,5,
,,,,,3,41.514,30,
,,,,,4,66.059,30,
,,,,,5,75.269,40,
,,,,,6,63.208,65,
,,,,,7,7.126,50,
,,,,,8,11.119,15,
,,,,,9,113.037,25,
,,,,,10,57.162,10,
5952,2352,118.7,11.9,0.6,1,119.366,5,
,,,,,2,20.977,10,
,,,,,3,79.531,25,
,,,,,4,63.038,60,
,,,,,5,142.883,15,
,,,,,6,51.828,45,
,,,,,7,4.64,5,
,,,,,8,146.19,5,
,,,,,9,6.409,10,
,,,,,10,112.818,75,
5953,2352,111.1,13.4,-0.8,1,5.32,5,
,,,,,2,20.922,15,
,,,,,3,163.009,15,
,,,,,4,128.541,5,
,,,,,5,65.81,80,
,,,,,6,105.987,5,
,,,,,7,1.922,5,
,,,,,8,5.25,20,
,,,,,9,5.17,45,
,,,,,10,98.858,5,
5959,2346,113.1,-3,0,1,91.848,25,
,,,,,2,0.843,20,
,,,,,3,91.646,0,
,,,,,4,110.797,20,
,,,,,5,44.368,5,
,,,,,6,96.71,30,
,,,,,7,70.953,5,
,,,,,8,92.899,20,
,,,,,9,102.129,10,
,,,,,10,82.819,10,
5964,2346,324.2,13.6,-0.8,1,19.432,15,
,,,,,2,3.77,20,
,,,,,3,19.893,60,
,,,,,4,3.932,45,
,,,,,5,155.283,20,
,,,,,6,129.965,5,
,,,,,7,12.947,60,
,,,,,8,20.94,45,
,,,,,9,167.519,45,
,,,,,10,30.848,15,
5972,2347,250.5,2.4,-1.6,1,147.538,15,
,,,,,2,139.57,10,
,,,,,3,24.318,50,
,,,,,4,55.759,45,
,,,,,5,11.391,70,
,,,,,6,16.808,70,
,,,,,7,172.774,45,
,,,,,8,42.789,90,
,,,,,9,32.062,5,
,,,,,10,129.337,0,
5978,2347,169.9,-9.4,0,1,143.373,40,
,,,,,2,18.492,80,
,,,,,3,144.276,15,
,,,,,4,139.864,10,
,,,,,5,148.932,30,
,,,,,6,149.221,5,
,,,,,7,143.833,5,
,,,,,8,92.857,5,
,,,,,9,173.22,10,
,,,,,10,175.994,0,
5980,2375,93.9,5.3,0,1,5.474,5,
,,,,,2,15.966,5,
,,,,,3,93.029,5,
,,,,,4,6.331,10,
,,,,,5,145.464,5,
,,,,,6,7.098,10,
,,,,,7,126.87,10,
,,,,,8,8.666,10,
,,,,,9,15.421,10,
,,,,,10,55.582,5,
5989,2375,310.5,10.8,0.6,1,2.41,0,
,,,,,2,59.534,5,
,,,,,3,31.982,30,
,,,,,4,30.168,15,
,,,,,5,59.622,35,
,,,,,6,104.331,5,
,,,,,7,108.994,15,
,,,,,8,50.3,0,
,,,,,9,36.213,10,
,,,,,10,15.583,0,
5992,2345,119.9,-1.2,0,1,45.084,30,
,,,,,2,79.85,10,
,,,,,3,95.255,60,
,,,,,4,145.545,5,
,,,,,5,165.32,10,
,,,,,6,173.725,45,
,,,,,7,93.814,15,
,,,,,8,13.548,30,
,,,,,9,12.385,25,
,,,,,10,162.998,30,
6002,2345,256.9,2.5,-1,1,129.546,15,
,,,,,2,158.023,20,
,,,,,3,2.618,40,
,,,,,4,163.914,20,
,,,,,5,138.834,25,
,,,,,6,0.999,50,
,,,,,7,50.043,45,
,,,,,8,25.066,15,
,,,,,9,144.173,45,
,,,,,10,119.328,15,
