"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-07-10 19:00:00",18,13.49,23.03,0.774,16.01,19.73,0.85039,1.04825,0.80811,0.89527,55.605,57.568,17.707,19.55,28.17,0.87755,1.26515,0.79958,0.92317,46.833,38.861,0.325,11.3,36.32,0.50776,1.63143,0.46276,1.38873,66.003,47.959,9.349,33.61,39.47,1.50923,1.77276,1.40535,1.54307,51.382,58.718,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 19:15:00",19,13.41,22.47,0.709,14.65,18.08,0.77827,0.9603,0.7256,0.80302,55.366,58.159,17.195,19.01,27.33,0.8536,1.22773,0.77813,0.89881,48.019,38.648,0.294,9.89,33.5,0.4443,1.50405,0.40229,1.27033,66.857,50.062,9.613,35.59,39.51,1.59872,1.77433,1.43753,1.51257,52.212,59.703,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 19:30:00",20,13.32,21.86,0.602,12.35,15.5,0.65618,0.82299,0.61568,0.69,56.774,59.412,16.554,18.26,26.35,0.81997,1.18298,0.75058,0.88177,47.149,38.607,0.273,9.21,31.07,0.41369,1.39562,0.37496,1.17003,66.453,50.484,8.274,29.14,35.57,1.30831,1.59779,1.24639,1.42424,53.92,61.255,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 19:45:00",21,13.22,21.2,0.539,11.08,13.83,0.58832,0.73481,0.55002,0.61059,57.206,58.189,15.948,17.63,25.35,0.79187,1.13829,0.72786,0.85317,47.553,38.756,0.227,7.02,27.24,0.31574,1.22307,0.28177,1.04093,63.913,51.149,7.914,27.95,33.94,1.25555,1.52418,1.18463,1.36246,54.783,63.357,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 20:00:00",22,13.15,20.62,0.461,9.48,11.81,0.50388,0.62727,0.46942,0.52021,57.1,58.651,15.054,16.65,23.92,0.74751,1.07427,0.68778,0.81931,47.921,37.88,0.203,6.04,24.86,0.27145,1.11657,0.2418,0.93829,61.164,52.225,7.541,27.2,31.74,1.22143,1.42547,1.14391,1.27839,56.072,65.059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 20:15:00",23,13.1,19.87,0.364,7.52,9.3,0.39899,0.49388,0.3684,0.39785,56.219,58.028,13.885,15.57,21.85,0.69928,0.98081,0.6438,0.77672,47.355,37.466,0.152,2.89,22.1,0.12964,0.99284,0.09223,0.81091,60.088,50.889,7.252,27.63,28.98,1.24119,1.30163,1.08289,1.14511,54.982,65.617,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 20:30:00",24,13.08,19,0.291,6,7.43,0.31887,0.39506,0.28438,0.31088,56.073,56.798,12.962,14.6,20.32,0.6559,0.91296,0.60662,0.73555,47.247,35.965,0.156,3.63,21.29,0.16276,0.95631,0.12932,0.777,60.943,51.595,5.906,21.27,24.89,0.95553,1.11755,0.88917,1.006,57.261,68.053,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 20:45:00",25,13.07,18.17,0.241,4.98,6.17,0.26444,0.32778,0.2368,0.2477,57.047,56.944,11.866,13.16,18.82,0.59105,0.84502,0.5566,0.70731,48.09,35.558,0.161,4.77,19.71,0.21413,0.88488,0.1847,0.71723,59.516,51.559,5.605,21.37,22.38,0.95975,1.00549,0.85767,0.89833,58.911,67.228,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 21:00:00",26,13.06,17.47,0.218,4.52,5.55,0.23952,0.29517,0.2119,0.21563,57.252,57.303,11.202,12.52,17.66,0.56214,0.79339,0.52726,0.6703,47.141,34.615,0.156,5.12,18.02,0.22994,0.80981,0.19386,0.65267,64.722,51.239,4.891,18.41,19.78,0.82668,0.88853,0.76003,-99,59.677,-99,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 21:15:00",27,13.05,16.91,0.202,4.08,5.25,0.21674,0.27855,0.19009,0.19478,56.173,56.069,10.631,11.91,16.74,0.53469,0.75196,0.50777,0.65594,46.112,34.825,0.123,3.04,16.46,0.13659,0.73882,0.10998,0.60126,63.581,52.06,4.403,16.46,17.93,0.73895,0.8054,0.67496,-99,58.86,-99,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
