,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Digital,,,,,,,,,,
,Charge Status,Battery Voltage,Battery Charge Current,System Current (Average),Battery Temperature,Input Voltage,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,Digital,,,,,,,,,,
Date/Time,Raw,Volts (V),Amps (A),Amps (A),Celsius (°C),Volts (V),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Raw,,,,,,,,,,
25/11/21 18:20:11,Power down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2022 13:44,8,13.17,0.101,0.061,28.8,20.02,0.423,4.41,3.27,0.198,0.147,0.152,0.102,51.572,41.369,16.721,16.282,0.397,3.96,1.11,0.178,0.05,0.161,-0.031,53.287,49.465,17.304,16.901,0.645,3.28,2.46,0.147,0.111,0.145,0.076,57.144,45.083,17.194,16.452,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 13:59,8,13.25,0.157,0.061,28.8,18.33,0.451,4.72,3.46,0.212,0.155,0.165,0.111,51.789,40.496,16.741,16.367,0.48,4.8,1.33,0.216,0.06,0.179,-0.031,52.306,48.637,17.427,17.04,0.767,4.23,2.57,0.19,0.115,0.175,0.079,56.057,46.213,17.443,16.661,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 14:14,8,13.31,0.195,0.062,28.8,22.84,0.405,4.14,3.22,0.186,0.144,0.147,0.105,51.638,41.172,16.795,16.448,0.354,3.61,0.9,0.163,0.041,0.139,-0.042,52.926,49.258,17.418,17.091,0.613,3.03,2.43,0.136,0.109,0.135,0.072,57.29,45.388,17.676,16.824,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 14:29,8,13.12,0.066,0.068,28.8,16.9,0.467,4.93,3.55,0.221,0.159,0.174,0.113,52.141,40.696,16.908,16.561,0.447,4.57,1.14,0.205,0.052,0.169,-0.035,51.213,49.199,17.483,17.17,0.645,3.41,2.31,0.153,0.104,0.142,0.069,54.982,45.653,17.953,17.052,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 14:44,8,13.13,0.085,0.061,28.8,17.18,0.42,4.34,3.3,0.195,0.148,0.157,0.111,50.954,40.751,16.998,16.673,0.432,4.36,1.16,0.196,0.052,0.169,-0.032,51.375,48.381,17.501,17.224,0.708,3.9,2.38,0.175,0.107,0.155,0.069,52.763,44.412,17.791,17.121,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 14:59,8,13.14,0.086,0.068,28.8,17.61,0.454,4.71,3.54,0.211,0.158,0.165,0.112,52.161,40.864,17.09,16.781,0.511,5.04,1.51,0.227,0.068,0.195,-0.026,51.852,48.186,17.499,17.268,0.733,4.01,2.49,0.18,0.112,0.162,0.066,53.343,44.424,17.502,17.03,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 15:14,8,13.18,0.113,0.062,28.8,17.18,0.376,3.8,3.04,0.171,0.137,0.132,0.096,51.471,40.334,17.163,16.885,0.424,4.28,1.14,0.193,0.052,0.161,-0.035,51.603,48.347,17.513,17.311,0.58,3.04,2.11,0.137,0.095,0.122,0.06,53.047,44.695,17.299,16.927,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 15:29,8,13.15,0.074,0.075,28.8,17.04,0.365,3.66,2.98,0.164,0.134,0.126,0.093,50.219,40.16,17.219,16.968,0.439,4.39,1.22,0.197,0.055,0.165,-0.032,51.952,48.955,17.542,17.358,0.555,2.82,2.11,0.127,0.094,0.113,0.054,54.282,45.105,17.144,16.837,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 15:44,8,13.13,0.067,0.062,28.8,16.48,0.353,3.54,2.89,0.159,0.13,0.118,0.091,50.818,40.921,17.259,17.04,0.415,4.15,1.16,0.187,0.052,0.157,-0.038,51.181,48.339,17.54,17.394,0.521,2.66,1.97,0.12,0.088,0.109,0.055,54.182,44.591,16.991,16.75,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 15:59,8,13.13,0.065,0.061,28.8,15.64,0.32,3.19,2.65,0.143,0.119,0.103,0.079,51.596,40.715,17.276,17.094,0.358,3.63,0.95,0.163,0.043,0.132,-0.044,51.217,48.066,17.503,17.406,0.467,2.33,1.82,0.104,0.082,0.094,0.049,54.495,44.234,16.858,16.664,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 16:14,8,13.12,0.06,0.061,28.8,16.48,0.297,2.9,2.52,0.13,0.113,0.096,0.077,51.397,39.944,17.288,17.134,0.331,3.34,0.89,0.15,0.04,0.12,-0.047,51.458,48.461,17.454,17.402,0.412,2.06,1.6,0.093,0.072,0.083,0.043,54.634,43.653,16.738,16.583,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 16:29,8,13.09,0.048,0.072,28.8,14.65,0.29,2.84,2.46,0.127,0.111,0.091,0.074,51.082,39.941,17.299,17.168,0.31,3.15,0.81,0.142,0.036,0.112,-0.053,51.844,47.868,17.411,17.392,0.379,1.85,1.52,0.083,0.068,0.072,0.037,54.548,43.978,16.65,16.516,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
