Site,Plot,plot.number,Species,Tag,Date,pd_md,year,water_potential_mpa,Notes,Flag
Lisque,Weathertop,,Blue,2384,2024-09-05,pd,,1.693,,
Lisque,Weathertop,,Blue,2384,2024-09-05,pd,,1.786,,
Lisque,Weathertop,,Blue,2384,2024-09-05,pd,,1.989,,
Pine Needle,Pine Needle,,Blue,2085,2024-09-05,pd,,0.435,,
Pine Needle,Pine Needle,,Blue,2085,2024-09-05,pd,,0.416,,
Pine Needle,Pine Needle,,Blue,2085,2024-09-05,pd,,0.672,,
Pine Needle,Pine Needle,,Blue,2085,2024-09-05,pd,,0.562,,
Pine Needle,Pine Needle,,Blue,2085,2024-09-05,pd,,0.438,,
Pine Needle,Pine Needle,,Blue,2086,2024-09-05,pd,,0.617,,
Pine Needle,Pine Needle,,Blue,2086,2024-09-05,pd,,0.706,,
Pine Needle,Pine Needle,,Blue,2086,2024-09-05,pd,,0.518,,
Pine Needle,Pine Needle,,Blue,2086,2024-09-05,pd,,0.6,,
Pine Needle,Pine Needle,,Blue,2087,2024-09-05,pd,,0.437,,
Pine Needle,Pine Needle,,Blue,2087,2024-09-05,pd,,0.36,,
Pine Needle,Pine Needle,,Blue,2087,2024-09-05,pd,,0.46,,
Pine Needle,Pine Needle,,Blue,2088,2024-09-05,pd,,2.889,,
Pine Needle,Pine Needle,,Blue,2088,2024-09-05,pd,,1.859,,
Pine Needle,Pine Needle,,Blue,2088,2024-09-05,pd,,2.638,,
Pine Needle,Pine Needle,,Blue,2088,2024-09-05,pd,,1.129,,
Pine Needle,Pine Needle,,Blue,2088,2024-09-05,pd,,1.988,,
Pine Needle,Pine Needle,,Blue,2088,2024-09-05,pd,,2.312,,
Pine Needle,Pine Needle,,Blue,2088,2024-09-05,pd,,1.785,,
Pine Needle,Pine Needle,,Live,2089,2024-09-05,pd,,0.5,,
Pine Needle,Pine Needle,,Live,2089,2024-09-05,pd,,0.6,,
Pine Needle,Pine Needle,,Live,2089,2024-09-05,pd,,0.58,,
Pine Needle,Pine Needle,,Blue,2090,2024-09-05,pd,,0.85,,
Pine Needle,Pine Needle,,Blue,2090,2024-09-05,pd,,0.75,,
Pine Needle,Pine Needle,,Blue,2090,2024-09-05,pd,,0.9,,
Pine Needle,Pine Needle,,Blue,2090,2024-09-05,pd,,0.8,,
Pine Needle,Pine Needle,,Live,2091,2024-09-05,pd,,0.42,,
Pine Needle,Pine Needle,,Live,2091,2024-09-05,pd,,0.9,,
Pine Needle,Pine Needle,,Live,2091,2024-09-05,pd,,0.36,,
Pine Needle,Pine Needle,,Live,2091,2024-09-05,pd,,0.92,,
Pine Needle,Pine Needle,,Live,2091,2024-09-05,pd,,0.34,,
Pine Needle,Pine Needle,,Live,2091,2024-09-05,pd,,0.55,,
Pine Needle,Pine Needle,,Live,2091,2024-09-05,pd,,0.5,,
Pine Needle,Pine Needle,,Live,2092,2024-09-05,pd,,1,,
Pine Needle,Pine Needle,,Live,2092,2024-09-05,pd,,0.85,,
Pine Needle,Pine Needle,,Live,2092,2024-09-05,pd,,0.75,,
Pine Needle,Pine Needle,,Live,2093,2024-09-05,pd,,0.295,,
Pine Needle,Pine Needle,,Live,2093,2024-09-05,pd,,1,,
Pine Needle,Pine Needle,,Live,2093,2024-09-05,pd,,0.306,,
Serpentine,Serpentine,,Blue,2040,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2040,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2040,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2040,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2040,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2040,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2041,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2041,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2041,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2041,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2041,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2041,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2042,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2042,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2042,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2042,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2042,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2042,2024-09-05,pd,,,,
